site,site_coordinates,transect,grazing,plot,richness,avg_height,tallest,site_comments,plot_comments
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,1,6,15,25,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ",
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,2,7,12,27,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ",
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,3,5,13,39,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ",
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,4,4,4,15,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ","big boulder, couldn't do full 1x1m, boulder shades some plants clearly"
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,5,6,16,25,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ",
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,6,10,10,21,"fence fallen, spruce dominant but mixed coniferous forest, semi open, lots of blueberry, moss and spruce saplings ",lots of moss species in this plot
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,7,9,18,30,"plots 7-10 in a more open area, different species present",more open
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,8,9,12,62,"plots 7-10 in a more open area, different species present",
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,9,8,3,67,"plots 7-10 in a more open area, different species present","boulder in the way, had to put plot at 8.5m"
1,"57˚20'32"" N, 16˚27'52"" E",A,ungrazed,10,6,14,35,"plots 7-10 in a more open area, different species present",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,1,3,1,11,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,2,4,4,22,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,3,4,3,19,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",move moss dominant than blueberry dominant 
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,4,3,4,28,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,5,4,2,15,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation","boulder present, plot 2m from fence instead"
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,6,6,3,10,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,7,3,2,22,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,8,6,10,51,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,9,5,0.5,10,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",very bare ground
1,"57˚20'32"" N, 16˚27'52"" E",A,grazed,10,7,2,8,"clear path/ walkway with trampling present, generally sampled closer to the fence for this reason, generally less tall vegetation",mainly moss species 
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,1,7,6,27,lots of heather plots 1-6,some logs
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,2,6,4,23,lots of heather plots 1-6,
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,3,7,7,25,lots of heather plots 1-6,
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,4,6,8,29,lots of heather plots 1-6,moved slightly due to boulder
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,5,7,3,49,more boulders/outcrops than on grazed side,
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,6,3,6,41,more boulders/outcrops than on grazed side,
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,7,8,5,44,"no heather plot 7-10, much more wet ",
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,8,6,3,20,"no heather plot 7-10, much more wet ",
1,"57˚20'27"" N, 16'27'51"" E",B,ungrazed,9,6,15,22,"no heather plot 7-10, much more wet ",lush cover of moss
